rt,trans,trial_type,number,letter,choice,correct,too_slow,trial_start,stim_appear,experiment_time
2.57501233700896,2,1,7,E,1,0,1,154724.160139752,154726.190419923,154729.788355179
0.90784364999854,2,2,1,G,1,1,1,154729.796854429,154731.826183139,154733.757333906
1.19857293099631,2,1,8,M,1,1,1,154733.76620409,154735.794499776,154738.009621091
0.823199937003665,2,2,9,U,0,1,1,154738.018371917,154740.047059776,154741.876946091
1.16504721000092,2,1,1,K,0,1,1,154741.886673236,154743.915102153,154746.095958502
1.3489021610003,1,1,2,G,1,1,1,154746.104396255,154748.134141989,154750.49921449
1.68582206897554,3,3,6,U,1,1,1,154750.507983285,154752.535430804,154755.234805221
1.13564200900146,3,2,7,U,0,1,1,154755.243578462,154757.270551555,154759.418414917
1.78706058798707,3,3,3,A,1,1,1,154759.426875779,154761.457922516,154764.259096063
1.74568135500886,3,1,3,E,0,1,1,154764.268239919,154766.292866104,154769.056828166
1.25819594098721,1,1,1,M,1,0,1,154769.065567096,154771.095109685,154773.376545279
1.70802548600477,1,1,6,E,1,1,1,154773.385408321,154775.413298473,154778.144541794
1.18724425401888,2,2,8,R,0,1,1,154778.153063998,154780.184312181,154782.37985677
